date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:43:34	63777/63777	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Sep%202023%2001:43:33%20GMT	https://solutioip.wordpress.com/	E:/IAT2021/solutioip/solutioip.wordpress.com/index.html	(from )
22:43:35	360/360	---MCZ	200	added ('OK')	text/plain	date:Sat,%2009%20Sep%202023%2001:43:33%20GMT	https://solutioip.wordpress.com/robots.txt		(from )
22:43:36	2732/2732	---MCZ	200	added ('OK')	text/css	etag:W/3821-1684461135048.965	https://s0.wp.com/wp-content/themes/pub/varia/print.css?m=1571655471i&cssminify=yes	E:/IAT2021/solutioip/s0.wp.com/wp-content/themes/pub/varia/print2d49.css	(from https://solutioip.wordpress.com/)
22:43:39	98338/98338	---MCZ	200	added ('OK')	text/css	etag:W/124760-1691499768601.9573	https://s0.wp.com/wp-content/themes/pub/morden/style.css?m=1691491246i&cssminify=yes	E:/IAT2021/solutioip/s0.wp.com/wp-content/themes/pub/morden/style8880.css	(from https://solutioip.wordpress.com/)
22:43:39	369/369	---M--	200	added ('OK')	text/css	etag:%2260aef184-171%22	https://s1.wp.com/_static/??/wp-content/mu-plugins/core-compat/wp-mediaelement.css,/wp-content/mu-plugins/wpcom-bbpress-premium-themes.css?m=1432920480j&cssminify=yes	E:/IAT2021/solutioip/s1.wp.com/_static/indexd02a.html	(from https://solutioip.wordpress.com/)
22:43:39	1504/1504	---MCZ	200	added ('OK')	application/rss+xml	date:Sat,%2009%20Sep%202023%2001:43:34%20GMT	https://solutioip.wordpress.com/feed/	E:/IAT2021/solutioip/solutioip.wordpress.com/feed/index.html	(from https://solutioip.wordpress.com/)
22:43:39	887/887	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%2205399a7952c2d0b67483f755f9a4b2c2%22	https://solutioip.wordpress.com/comments/feed/	E:/IAT2021/solutioip/solutioip.wordpress.com/comments/feed/index.html	(from https://solutioip.wordpress.com/)
22:43:39	311/311	---M--	200	added ('OK')	text/css	etag:W/471-1684460928880.9634	https://s2.wp.com/wp-content/themes/h4/global.css?m=1420737423i&cssminify=yes	E:/IAT2021/solutioip/s2.wp.com/wp-content/themes/h4/globalf753.css	(from https://solutioip.wordpress.com/)
22:43:40	19938/19938	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264d123c0-4de2%22	https://s2.wp.com/_static/??/wp-content/js/mobile-useragent-info.js,/wp-content/js/rlt-proxy.js,/wp-content/mu-plugins/verbum/dynamic-loader.js?m=1691427769j	E:/IAT2021/solutioip/s2.wp.com/_static/indexa179.html	(from https://solutioip.wordpress.com/)
22:43:41	870/870	---MCZ	200	added ('OK')	text/xml	date:Sat,%2009%20Sep%202023%2001:43:39%20GMT	https://solutioip.wordpress.com/xmlrpc.php?rsd	E:/IAT2021/solutioip/solutioip.wordpress.com/xmlrpc0db0.php	(from https://solutioip.wordpress.com/)
22:43:41	10046/10046	---M--	200	added ('OK')	image/png	etag:%2260aef166-273e%22	https://s2.wp.com/i/webclip.png	E:/IAT2021/solutioip/s2.wp.com/i/webclip.png	(from https://solutioip.wordpress.com/)
22:43:42	1400/1400	---MCZ	200	added ('OK')	application/xml	date:Sat,%2009%20Sep%202023%2001:43:41%20GMT	https://solutioip.wordpress.com/osd.xml	E:/IAT2021/solutioip/solutioip.wordpress.com/osd.xml	(from https://solutioip.wordpress.com/)
22:43:49	59257/59257	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Sep%202023%2001:43:41%20GMT	https://solutioip.wordpress.com/sobre/	E:/IAT2021/solutioip/solutioip.wordpress.com/sobre/index.html	(from https://solutioip.wordpress.com/)
22:43:49	63568/63568	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Sep%202023%2001:43:42%20GMT	https://solutioip.wordpress.com/servicos/	E:/IAT2021/solutioip/solutioip.wordpress.com/servicos/index.html	(from https://solutioip.wordpress.com/)
22:43:49	61064/61064	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Sep%202023%2001:43:42%20GMT	https://solutioip.wordpress.com/contato/	E:/IAT2021/solutioip/solutioip.wordpress.com/contato/index.html	(from https://solutioip.wordpress.com/)
22:43:52	1614384/1614384	---M--	200	added ('OK')	image/png	date:Wed,%2006%20Sep%202023%2022:04:59%20GMT	https://solutioip.files.wordpress.com/2023/09/home2-1.png	E:/IAT2021/solutioip/solutioip.files.wordpress.com/2023/09/home2-1.png	(from https://solutioip.wordpress.com/)
22:43:52	305378/305378	---M--	200	added ('OK')	image/jpeg	date:Wed,%2006%20Sep%202023%2023:14:27%20GMT	https://solutioip.files.wordpress.com/2023/09/sorrindo-empresario-maduro-em-pe-na-frente-de-seus-colegas-no-local-de-trabalho.jpg?w=1024	E:/IAT2021/solutioip/solutioip.files.wordpress.com/2023/09/sorrindo-empresario-maduro-em-pe-na-frente-de-seus-colegas-no-local-de-trabalho2dff.jpg	(from https://solutioip.wordpress.com/)
22:43:55	828590/828590	---M--	200	added ('OK')	image/png	date:Wed,%2006%20Sep%202023%2023:34:17%20GMT	https://solutioip.files.wordpress.com/2023/09/events-1-3.png?w=939	E:/IAT2021/solutioip/solutioip.files.wordpress.com/2023/09/events-1-321dc.png	(from https://solutioip.wordpress.com/)
22:43:58	12970/12970	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264dbb695-32aa%22	http://0.gravatar.com/js/hovercards/hovercards.min.js?ver=202336aeb24331352c11f5446dd670d75325a3c4e3b8a6bd7f92ee1c88f8b8636d4d9c	E:/IAT2021/solutioip/0.gravatar.com/js/hovercards/hovercards.min6211.js	(from https://solutioip.wordpress.com/)
22:43:58	556670/556670	---M--	200	added ('OK')	image/png	date:Wed,%2006%20Sep%202023%2023:25:16%20GMT	https://solutioip.files.wordpress.com/2023/09/meet-up-service-website-in-white-simple-light-style.png?w=814	E:/IAT2021/solutioip/solutioip.files.wordpress.com/2023/09/meet-up-service-website-in-white-simple-light-style1688.png	(from https://solutioip.wordpress.com/)
22:43:58	655/655	---MCZ	200	added ('OK')	application/javascript	etag:W/1125-1684465184641.707	https://s2.wp.com/wp-content/mu-plugins/gravatar-hovercards/wpgroho.js?m=1610363240i	E:/IAT2021/solutioip/s2.wp.com/wp-content/mu-plugins/gravatar-hovercards/wpgrohoe8bd.js	(from https://solutioip.wordpress.com/)
22:43:59	8203/8203	---M--	200	added ('OK')	image/png	etag:%2261be9fe8-200b%22	https://s2.wp.com/i/logo/wpcom-gray-white.png	E:/IAT2021/solutioip/s2.wp.com/i/logo/wpcom-gray-white.png	(from https://solutioip.wordpress.com/)
22:43:59	0/0	---MC-	302	error ('Found')	text/html	date:Sat,%2009%20Sep%202023%2001:43:58%20GMT	https://solutioip.wordpress.com/wp-admin/customize.php?url=https%3A%2F%2Fsolutioip.wordpress.com%2F	E:/IAT2021/solutioip/solutioip.wordpress.com/wp-admin/customize.dbf14.delayed	(from https://solutioip.wordpress.com/)
22:44:00	0/0	---MC-	302	error ('Found')	text/html	date:Sat,%2009%20Sep%202023%2001:43:59%20GMT	https://solutioip.wordpress.com/wp-login.php?redirect_to=https%3A%2F%2Fsolutioip.wordpress.com%2Fwp-admin%2Fcustomize.php%3Furl%3Dhttps%253A%252F%252Fsolutioip.wordpress.com%252F&reauth=1	E:/IAT2021/solutioip/solutioip.wordpress.com/wp-loginf9ea.php	(from https://solutioip.wordpress.com/)
22:44:01	14633/14633	---MCZ	200	added ('OK')	text/css	etag:W/17924-1684460926167.6394	https://s0.wp.com/wp-content/mu-plugins/actionbar/actionbar.css?v=20210915	E:/IAT2021/solutioip/s0.wp.com/wp-content/mu-plugins/actionbar/actionbar2866.css	(from https://solutioip.wordpress.com/)
22:44:02	7186/7186	---MCZ	200	added ('OK')	application/javascript	etag:W/13421-1684460936240.9634	https://s0.wp.com/wp-content/mu-plugins/actionbar/actionbar.js?v=20220329	E:/IAT2021/solutioip/s0.wp.com/wp-content/mu-plugins/actionbar/actionbarb516.js	(from https://solutioip.wordpress.com/)
22:44:03	10813/10813	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261dc645f-2a3d%22	http://stats.wp.com/w.js?63	E:/IAT2021/solutioip/stats.wp.com/w03af.js	(from https://solutioip.wordpress.com/)
22:44:03	427/427	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2009%20Sep%202023%2001:44:01%20GMT	https://solutioip.wordpress.com/wp-content/plugins/ie-sitemode/custom-jumplist.php	E:/IAT2021/solutioip/solutioip.wordpress.com/wp-content/plugins/ie-sitemode/custom-jumplist.php	(from https://solutioip.wordpress.com/)
22:44:03	43/43	---M--	200	added ('OK')	image/gif	date:Sat,%2009%20Sep%202023%2001:44:02%20GMT	https://pixel.wp.com/b.gif?v=noscript	E:/IAT2021/solutioip/pixel.wp.com/b0b80.gif	(from https://solutioip.wordpress.com/)
22:44:04	345/345	---MCZ	200	added ('OK')	text/plain	date:Sat,%2009%20Sep%202023%2001:44:02%20GMT	https://s1.wp.com/robots.txt		(from https://solutioip.wordpress.com/)
22:44:05	345/345	---MCZ	200	added ('OK')	text/plain	date:Sat,%2009%20Sep%202023%2001:44:03%20GMT	https://s2.wp.com/robots.txt		(from https://solutioip.wordpress.com/)
22:44:07	305378/305378	---M--	200	added ('OK')	image/jpeg	date:Thu,%2007%20Sep%202023%2001:17:00%20GMT	https://solutioip.files.wordpress.com/2023/09/sorrindo-empresario-maduro-em-pe-na-frente-de-seus-colegas-no-local-de-trabalho-1.jpg?w=1024	E:/IAT2021/solutioip/solutioip.files.wordpress.com/2023/09/sorrindo-empresario-maduro-em-pe-na-frente-de-seus-colegas-no-local-de-trabalho-12dff.jpg	(from https://solutioip.wordpress.com/sobre/)
22:44:07	0/0	---MC-	302	error ('Found')	text/html	date:Sat,%2009%20Sep%202023%2001:44:06%20GMT	https://solutioip.wordpress.com/wp-admin/customize.php?url=https%3A%2F%2Fsolutioip.wordpress.com%2Fsobre%2F	E:/IAT2021/solutioip/solutioip.wordpress.com/wp-admin/customize.1510d8.delayed	(from https://solutioip.wordpress.com/sobre/)
22:44:07	0/0	---MC-	302	error ('Found')	text/html	date:Sat,%2009%20Sep%202023%2001:44:06%20GMT	https://solutioip.wordpress.com/wp-login.php?redirect_to=https%3A%2F%2Fsolutioip.wordpress.com%2Fwp-admin%2Fcustomize.php%3Furl%3Dhttps%253A%252F%252Fsolutioip.wordpress.com%252Fsobre%252F&reauth=1	E:/IAT2021/solutioip/solutioip.wordpress.com/wp-login7bd5.php	(from https://solutioip.wordpress.com/sobre/)
22:44:09	403550/403550	---M--	200	added ('OK')	image/jpeg	date:Thu,%2007%20Sep%202023%2001:26:25%20GMT	https://solutioip.files.wordpress.com/2023/09/app-application-business-business-strategy-coffee-collaboration-1434201-pxhere.com_-2.jpg?w=1024	E:/IAT2021/solutioip/solutioip.files.wordpress.com/2023/09/app-application-business-business-strategy-coffee-collaboration-1434201-pxhere.com_-22dff.jpg	(from https://solutioip.wordpress.com/servicos/)
22:44:09	163112/163112	---M--	200	added ('OK')	image/jpeg	date:Mon,%2004%20Sep%202023%2021:54:56%20GMT	https://solutioip.files.wordpress.com/2023/09/analysis_business_caf_coffee_communication_computer_connection_contemporary-1549861.jpg?w=1024	E:/IAT2021/solutioip/solutioip.files.wordpress.com/2023/09/analysis_business_caf_coffee_communication_computer_connection_contemporary-15498612dff.jpg	(from https://solutioip.wordpress.com/servicos/)
22:44:10	133023/133023	---M--	200	added ('OK')	image/jpeg	date:Thu,%2007%20Sep%202023%2001:44:07%20GMT	https://solutioip.files.wordpress.com/2023/09/pexels-fauxels-3184357-1.jpg?w=1024	E:/IAT2021/solutioip/solutioip.files.wordpress.com/2023/09/pexels-fauxels-3184357-12dff.jpg	(from https://solutioip.wordpress.com/servicos/)
22:44:10	0/0	---MC-	302	error ('Found')	text/html	date:Sat,%2009%20Sep%202023%2001:44:09%20GMT	https://solutioip.wordpress.com/wp-admin/customize.php?url=https%3A%2F%2Fsolutioip.wordpress.com%2Fservicos%2F	E:/IAT2021/solutioip/solutioip.wordpress.com/wp-admin/customize79f9.php	(from https://solutioip.wordpress.com/servicos/)
